sample_id,input_reads,filtered_reads,pct_passed_filter,denoised_reads,merged_reads,pct_merged,non_chimeric_reads,pct_non_chimeric,pct_filtered_that_merged,pct_merged_that_non_chimeric,num_ASVs
ERR1873362,175633,138759,79.01,119558,69109,39.35,55281,31.48,49.81,79.99,688
ERR1873363,152434,123657,81.12,111028,71250,46.74,56882,37.32,57.62,79.83,959
ERR1873364,116049,89053,76.74,78069,48721,41.98,40136,34.59,54.71,82.38,544
ERR1873365,139810,113608,81.26,100317,60040,42.94,50207,35.91,52.85,83.62,827
ERR1873366,76747,55541,72.37,47593,26640,34.71,22709,29.59,47.96,85.24,275
ERR1873367,102973,82783,80.39,71622,45022,43.72,33266,32.31,54.39,73.89,567
ERR1873368,94226,74294,78.85,66639,41225,43.75,29001,30.78,55.49,70.35,491
ERR1873369,233409,179719,77.0,159111,106671,45.7,63691,27.29,59.35,59.71,781
ERR1873370,157725,130404,82.68,114882,73257,46.45,59832,37.93,56.18,81.67,857
ERR1873371,63202,47956,75.88,39185,21103,33.39,18990,30.05,44.0,89.99,229
ERR1873372,62178,46338,74.52,37459,20281,32.62,16821,27.05,43.77,82.94,248
ERR1873373,64872,48453,74.69,40415,20084,30.96,18370,28.32,41.45,91.47,218
ERR1873374,142262,106984,75.2,97461,64020,45.0,48494,34.09,59.84,75.75,821
ERR1873375,116767,92009,78.8,78892,40267,34.48,35243,30.18,43.76,87.52,440
ERR1873376,145659,114611,78.68,97063,57861,39.72,50033,34.35,50.48,86.47,622
ERR1873377,166780,128801,77.23,118180,80427,48.22,59599,35.74,62.44,74.1,1021
ERR1873378,168077,132321,78.73,112598,66582,39.61,46964,27.94,50.32,70.54,619
ERR1873379,161660,123944,76.67,115851,88221,54.57,56122,34.72,71.18,63.62,1301
ERR1873380,144149,115718,80.28,100664,57495,39.89,45481,31.55,49.69,79.1,647
ERR1873381,194607,152776,78.5,138947,89288,45.88,64387,33.09,58.44,72.11,1041
ERR1877971,123188,91847,74.56,82618,50094,40.66,41614,33.78,54.54,83.07,603
ERR1877972,55246,40627,73.54,33587,19002,34.4,15999,28.96,46.77,84.2,257
ERR1877973,114900,83985,73.09,78363,62021,53.98,40969,35.66,73.85,66.06,1109
ERR2602433,281725,215000,76.32,199997,159385,56.57,133509,47.39,74.13,83.77,2824
ERR2602434,203694,152968,75.1,140542,113875,55.9,98914,48.56,74.44,86.86,1624
ERR2602435,97457,75122,77.08,62975,35244,36.16,29493,30.26,46.92,83.68,410
ERR2602436,139395,113014,81.07,100104,74312,53.31,68174,48.91,65.75,91.74,1094
ERR2602437,227593,179184,78.73,168073,147533,64.82,117888,51.8,82.34,79.91,584
ERR2602438,148456,115814,78.01,98864,56510,38.07,49094,33.07,48.79,86.88,697
ERR2602439,214241,173215,80.85,157873,124985,58.34,106027,49.49,72.16,84.83,1648
ERR2602440,109916,88379,80.41,76929,48604,44.22,35237,32.06,54.99,72.5,653
ERR2602441,203027,159834,78.73,145171,108117,53.25,91647,45.14,67.64,84.77,1632
ERR2602442,417671,328267,78.59,306918,250306,59.93,195897,46.9,76.25,78.26,2447
ERR2602443,422893,332381,78.6,307530,242674,57.38,191081,45.18,73.01,78.74,3398
ERR2602444,108910,84443,77.53,78039,66875,61.4,61945,56.88,79.2,92.63,886
ERR2602445,172313,135956,78.9,124258,98643,57.25,82632,47.95,72.56,83.77,1285
ERR2602446,206601,159596,77.25,142285,96104,46.52,66382,32.13,60.22,69.07,1113
ERR2602447,203460,161185,79.22,140370,87467,42.99,68982,33.9,54.26,78.87,1154
ERR2602448,171365,139739,81.54,122924,86118,50.25,59600,34.78,61.63,69.21,1143
ERR2602449,250952,194737,77.6,181285,147637,58.83,127159,50.67,75.81,86.13,1920
ERR2602450,154171,123230,79.93,105140,67426,43.73,59323,38.48,54.72,87.98,1085
ERR2602451,359880,283373,78.74,262599,200675,55.76,150087,41.7,70.82,74.79,2241
ERR2602452,180025,139139,77.29,130002,104278,57.92,85728,47.62,74.95,82.21,1431
ERR2602453,43852,35246,80.37,30853,21495,49.02,17388,39.65,60.99,80.89,303
ERR2602454,38303,29487,76.98,24846,17827,46.54,14584,38.08,60.46,81.81,213
ERR2602455,183409,142047,77.45,128394,91645,49.97,68485,37.34,64.52,74.73,1258
ERR2602456,203479,159074,78.18,144357,100933,49.6,72113,35.44,63.45,71.45,1275
ERR2602457,182708,143188,78.37,132643,103484,56.64,67375,36.88,72.27,65.11,1546
ERR2602458,89280,70999,79.52,64410,48665,54.51,28191,31.58,68.54,57.93,687
ERR2602459,124341,96190,77.36,89932,74814,60.17,37544,30.19,77.78,50.18,1031
ERR2602460,275377,216668,78.68,199752,151927,55.17,94368,34.27,70.12,62.11,2173
ERR2602461,193688,144195,74.45,122090,72466,37.41,60959,31.47,50.26,84.12,882
ERR2602462,67312,51854,77.04,45852,32004,47.55,24979,37.11,61.72,78.05,394
ERR2602463,174870,140061,80.09,125885,88080,50.37,66152,37.83,62.89,75.1,1166
ERR2602464,126509,96087,75.95,79981,42987,33.98,37838,29.91,44.74,88.02,502
ERR2602465,167628,133452,79.61,117757,73288,43.72,56843,33.91,54.92,77.56,1018
ERR2602466,227904,179393,78.71,164416,125900,55.24,82366,36.14,70.18,65.42,1621
ERR2602467,209102,162554,77.74,144373,98933,47.31,73019,34.92,60.86,73.81,1247
ERR2602468,153919,121546,78.97,109013,78845,51.22,55324,35.94,64.87,70.17,1112
ERR2603003,44835,31828,70.99,26155,15643,34.89,13479,30.06,49.15,86.17,178
